week,alpha,EXCELLENT,GOOD,NORMAL,DISAPPOINTED,Excellent_lead_1wk,Good_lead_1wk,Normal_lead_1wk,Disappoint_lead_1wk,Excellent_lead_2wk,Good_lead_2wk,Normal_lead_2wk,Disappoint_lead_2wk,Alpha_class
1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
2,4.34,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,5
3,-1.9400000000000002,0,0,0,0,0,0,0,0,0,0,0,0,3
4,41.71,1,0,0,0,0,0,0,0,0,0,0,0,6
5,-3.89,0,0,0,0,1,0,0,0,0,0,0,0,2
6,8.54,0,0,0,0,0,0,0,0,1,0,0,0,6
7,4.91,0,0,0,0,0,0,0,0,0,0,0,0,5
8,-4.37,0,0,0,0,0,0,0,0,0,0,0,0,2
9,4.619999999999999,0,0,0,0,0,0,0,0,0,0,0,0,5
10,-4.529999999999999,0,0,0,0,0,0,0,0,0,0,0,0,2
11,0.28,0,0,0,0,0,0,0,0,0,0,0,0,4
12,-1.96,0,0,0,0,0,0,0,0,0,0,0,0,3
13,3.6199999999999997,0,0,0,0,0,0,0,0,0,0,0,0,5
14,-13.25,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1.9299999999999997,1,2,0,0,0,0,0,0,0,0,0,0,4
16,-3.3199999999999994,0,0,0,0,1,2,0,0,0,0,0,0,2
17,22.11,0,0,0,0,0,0,0,0,1,2,0,0,6
18,-4.48,0,0,0,0,0,0,0,0,0,0,0,0,2
19,0.75,0,0,0,0,0,0,0,0,0,0,0,0,4
20,7.32,0,0,0,0,0,0,0,0,0,0,0,0,6
21,-3.1900000000000004,0,0,0,0,0,0,0,0,0,0,0,0,2
22,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,3
23,-3.04,0,0,0,0,0,0,0,0,0,0,0,0,2
24,-1.31,0,0,0,0,0,0,0,0,0,0,0,0,3
25,3.6399999999999997,0,0,0,0,0,0,0,0,0,0,0,0,5
26,-3.8499999999999996,0,0,0,0,0,0,0,0,0,0,0,0,2
27,4.42,1,0,0,0,0,0,0,0,0,0,0,0,5
