"","Title","Week","Premiere","IMDb"
"1","#blackAF",380,2020-04-17,"6.8"
"2","13 Reasons Why",221,2017-03-31,"7.6"
"3","1983",308,2018-11-30,"6.8"
"4","1994",332,2019-05-17,"7.6"
"5","3%",203,2016-11-25,"7.4"
"6","72 Dangerous Animals: Asia",292,2018-08-10,"6.6"
"7","72 Dangerous Animals: Latin America",259,2017-12-22,"6.6"
"8","7SEEDS",338,2019-06-28,"6.4"
"9","A Perfect Crime",403,2020-09-25,"7.3"
"10","A Series of Unfortunate Events",210,2017-01-13,"7.8"
"11","A.I.C.O. -Incarnation-",270,2018-03-09,"6.4"
"12","Abstract: The Art of Design",214,2017-02-10,"8.4"
"13","Absurd Planet",381,2020-04-22,"3.9"
"14","Afflicted",292,2018-08-10,"5.0"
"15","After Life",322,2019-03-08,"8.4"
"16","Aggretsuko",276,2018-04-20,"8.1"
"17","AJ and the Queen",366,2020-01-10,"7.5"
"18","Alex Rider",387,2020-06-04,"7.6"
"19","Alexa & Katie",272,2018-03-23,"7.5"
"20","Alice in Borderland",414,2020-12-10,"7.7"
"21","Alien Worlds",413,2020-12-02,"6.5"
"22","All About the Washingtons",292,2018-08-10,"4.5"
"23","All or Nothing",182,2016-07-01,"8.6"
"24","All or Nothing: Manchester City",293,2018-08-17,"8.2"
"25","All or Nothing: New Zealand All Blacks",282,2018-06-01,"8.1"
"26","All or Nothing: The Michigan Wolverines",274,2018-04-07,"7.6"
"27","All or Nothing: Tottenham Hotspur",399,2020-08-31,"8.2"
"28","Almost Happy",382,2020-05-01,"6.8"
"29","Alpha House",15,2013-04-19,"7.6"
"30","Altered Carbon",265,2018-02-02,"8.0"
"31","Always a Witch",317,2019-02-01,"6.2"
"32","American Playboy: The Hugh Hefner Story",222,2017-04-06,"7.5"
"33","American Vandal",245,2017-09-15,"8.2"
"34","Annedroids",81,2014-07-25,"6.3"
"35","Another Life",342,2019-07-25,"5.0"
"36","ARASHI's Diary -Voyage-",365,2019-12-31,"7.4"
"37","Ares",367,2020-01-17,"5.6"
"38","Astronomy Club: The Sketch Show",361,2019-12-06,"7.1"
"39","Atypical",240,2017-08-11,"8.3"
"40","Aunty Donna's Big Ol' House of Fun",410,2020-11-11,"8.0"
"41","Away",400,2020-09-04,"6.6"
"42","B: The Beginning",269,2018-03-02,"7.2"
"43","Babies",372,2020-02-21,"7.0"
"44","Baby",308,2018-11-30,"6.8"
"45","Bad Boy Billionaires: India",404,2020-10-05,"8.0"
"46","Barbarians",407,2020-10-23,"7.2"
"47","Bard of Blood",351,2019-09-27,"6.9"
"48","Beat",305,2018-11-09,"7.4"
"49","Best.Worst.Weekend.Ever.",302,2018-10-19,"6.4"
"50","Betaal",385,2020-05-24,"5.4"
"51","Betas",15,2013-04-19,"7.0"
"52","Bhaag Beanie Bhaag",413,2020-12-04,"3.8"
"53","Big Mouth",247,2017-09-29,"7.9"
"54","Biohackers",398,2020-08-20,"6.8"
"55","Black Summer",327,2019-04-11,"6.5"
"56","Blade of the Immortal",353,2019-10-10,"6.7"
"57","Blazing Transfer Students",253,2017-11-10,"7.3"
"58","Blood & Water",385,2020-05-20,"6.4"
"59","Blood of Zeus",408,2020-10-27,"7.5"
"60","Bloodline",115,2015-03-20,"7.9"
"61","Bloodride",375,2020-03-13,"6.4"
"62","Bobby Kennedy for President",277,2018-04-27,"8.2"
"63","Boca Juniors Confidential",297,2018-09-14,"6.4"
"64","BoJack Horseman",85,2014-08-22,"8.7"
"65","Bonding",329,2019-04-24,"7.2"
"66","Bosch",110,2015-02-13,"8.4"
"67","BREAK IT ALL: The History of Rock in Latin America",415,2020-12-16,"7.6"
"68","Breakfast, Lunch & Dinner",355,2019-10-23,"6.8"
"69","Breathe",264,2018-01-26,"8.3"
"70","Breathe: Into the Shadows",392,2020-07-10,"7.7"
"71","Brews Brothers",379,2020-04-10,"5.1"
"72","Bridgerton",416,2020-12-25,"7.3"
"73","Broken",360,2019-11-27,"6.9"
"74","Brotherhood",355,2019-10-25,"7.6"
"75","Cable Girls",225,2017-04-28,"7.6"
"76","Cagaster of an Insect Cage",370,2020-02-06,"6.2"
"77","Cannon Busters",345,2019-08-15,"6.8"
"78","Captive",205,2016-12-09,"6.9"
"79","Carmel: Who Killed Maria Marta?",409,2020-11-05,"7.1"
